v1,price,area,subarea,name,condition,cylinders,drive,fuel,odometer,paintcolor,size,transmission,type,dealer
115,NA,chicago,chicago suburbs,2014 Toyota_ Camry_,excellent,other,fwd,gas,54294,NA,NA,automatic,sedan,1
116,"$16,900 ",chicago,indiana NW,2017 Toyota Camry SE,NA,NA,NA,gas,NA,NA,NA,automatic,NA,1
117,"$4,990 ",chicago,chicago city,2007 Toyota Camry Hybrid,good,4 cylinders,fwd,gas,116236,grey,NA,automatic,sedan,1
118,"$1,500 ",chicago,chicago city,1998 Toyota Camry,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
119,"$7,000 ",chicago,chicago city,2013 toyota camry,excellent,4 cylinders,NA,gas,213000,white,compact,automatic,sedan,0
120,"$8,955 ",chicago,chicago suburbs,2009 Toyota Camry Hybrid,NA,4 cylinders,fwd,hybrid,81388,white,mid-size,automatic,sedan,1
121,"$6,300 ",chicago,chicago N,2011 toyota camry se 4dr sedan,excellent,4 cylinders,fwd,gas,156000,black,full-size,automatic,sedan,0
122,"$10,590 ",chicago,chicago suburbs,2012 TOYOTA CAMRY,good,4 cylinders,fwd,gas,75294,red,NA,automatic,NA,0
123,"$3,030 ",chicago,chicago city,2010 toyota camry xle,excellent,6 cylinders,fwd,gas,NA,black,full-size,automatic,sedan,0
124,"$8,499 ",chicago,chicago N,2011 toyota camry hybrid,excellent,4 cylinders,fwd,hybrid,105,green,full-size,automatic,sedan,0
125,"$14,850 ",chicago,chicago city,2015 Toyota_ Camry_,excellent,other,NA,gas,35721,NA,NA,automatic,sedan,1
126,"$1,600 ",chicago,indiana NW,1998 1998 TOYOTA CAMRY,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
127,"$4,500 ",chicago,chicago city,2007 toyota camry,good,4 cylinders,fwd,gas,NA,silver,full-size,automatic,sedan,0
128,"$8,895 ",chicago,chicago city,2012 toyota camry,like new,4 cylinders,fwd,gas,110,blue,full-size,automatic,sedan,0
129,"$4,400 ",chicago,chicago N,2005 toyota camry,good,4 cylinders,fwd,gas,123000,NA,NA,automatic,sedan,0
130,"$5,799 ",chicago,chicago city,2007 Toyota Camry Hybrid,good,4 cylinders,fwd,hybrid,159000,silver,NA,automatic,sedan,0
131,$800 ,chicago,chicago W,2000 TOYOTA CAMRY,NA,4 cylinders,NA,gas,NA,NA,NA,automatic,NA,0
132,"$3,100 ",chicago,chicago city,2004 Toyota Camry,excellent,4 cylinders,NA,gas,130756,grey,NA,automatic,sedan,0
133,"$2,100 ",chicago,NA,2003 Toyota Camry,NA,4 cylinders,fwd,gas,0,green,NA,automatic,sedan,1
134,"$11,877 ",chicago,chicago W,2012 TOYOTA CAMRY HYBRID XLE,excellent,4 cylinders,fwd,hybrid,112707,white,mid-size,automatic,NA,1
135,"$9,449 ",chicago,chicago W,2012 TOYOTA CAMRY,NA,NA,fwd,other,112143,black,NA,automatic,sedan,1
136,"$2,200 ",chicago,chicago W,2001 toyota camry,good,4 cylinders,fwd,gas,146000,silver,mid-size,automatic,sedan,0
137,"$1,300 ",chicago,chicago city,1998 toyota camry,fair,4 cylinders,fwd,gas,NA,grey,NA,automatic,NA,0
138,"$3,500 ",chicago,chicago city,2002 toyota camry,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
139,"$15,630 ",chicago,chicago city,2016 TOYOTA CAMRY,NA,NA,fwd,gas,13152,NA,NA,automatic,sedan,1
140,"$6,500 ",chicago,chicago suburbs,2008 toyota camry le,excellent,4 cylinders,rwd,gas,109000,black,full-size,automatic,sedan,0
141,"$4,400 ",chicago,chicago W,2004 toyota camry le 4dr sedan,excellent,4 cylinders,fwd,gas,105000,silver,mid-size,automatic,sedan,0
142,"$2,400 ",chicago,chicago W,2000 Toyota_ Camry_,excellent,4 cylinders,fwd,gas,166457,grey,mid-size,automatic,sedan,1
143,NA,chicago,chicago city,2010 Toyota Camry,excellent,NA,fwd,gas,140437,white,mid-size,automatic,sedan,1
144,"$1,700 ",chicago,chicago N,1998 Toyota Camry LE,good,NA,NA,gas,175626,brown,mid-size,automatic,sedan,0
